,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"왼쪽 끝 좌표: (0, 0), 중간 좌표: (48, 24), 끝 좌표(96, 48)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"정렬 텍스트: LEFT, CENTER, RIGHT, L, C, R 각각 왼쪽정렬, 가운데정렬, 오른쪽정렬",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"좌표 0~96, 0~48 범위를 벗어나더라도 렌더링이 가능합니다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,부족하면 더 적어도 작동합니다,,,,,,
,번호,표지판타입,좌표갯수,x1,y1,텍스트1,텍스트 배율,색,정렬1,x2,y2,텍스트2,텍스트 배율,색,정렬2,x3,y3,텍스트3,텍스트 배율,색,정렬3,x4,y4,텍스트4,텍스트 배율,색,정렬4,x5,y5,텍스트5,텍스트 배율,색,정렬5,
,08-383,default,3,184,30,08-383,1,#0000FF,RIGHT,10,10,전산실습실,1.75,#FFFFFF,LEFT,10,29,Computer Lab.,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-384,default,3,148,15,08-384,1,#0000FF,LEFT,140,10,신소재공학과학생회실,1.6,#FFFFFF,RIGHT,140,29,Students Association - Dept. of Materials Science & Engineering,0.4,#FFFFFF,RIGHT,,,,,,,,,,,,,
,08-385a,default,3,148,15,08-385,1,#0000FF,LEFT,140,10,강  의  실,1.75,#FFFFFF,RIGHT,140,29,Lecture Room,0.4,#FFFFFF,RIGHT,,,,,,,,,,,,,
,08-385b,default,3,184,30,08-385,1,#0000FF,RIGHT,10,10,강 의 실,1.75,#FFFFFF,LEFT,10,29,Lecture Room,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-386a,default,3,148,15,08-386,1,#0000FF,LEFT,140,10,강  의  실,1.75,#FFFFFF,RIGHT,140,29,Lecture Room,0.4,#FFFFFF,RIGHT,,,,,,,,,,,,,
,08-386b,default,3,184,30,08-386,1,#0000FF,RIGHT,10,10,강 의 실,1.75,#FFFFFF,LEFT,10,29,Lecture Room,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-401,default,3,184,30,08-401,1,#0000FF,RIGHT,10,10,컴퓨터실습실,1.75,#FFFFFF,LEFT,10,29,Computer Lab.,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-402,default,3,184,30,08-402,1,#0000FF,RIGHT,10,10,빅데이터 분석실,1.75,#FFFFFF,LEFT,10,29,Big Data Analytics Room,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-403,default,3,148,15,08-403,1,#0000FF,LEFT,140,10,산업경영공학과사무실,1.75,#FFFFFF,RIGHT,140,29,Dept. of Industrial and Management Engineering,0.6,#808080,RIGHT,,,,,,,,,,,,,
,08-404,default,3,184,30,08-404,1,#0000FF,RIGHT,10,10,세미나실,1.75,#FFFFFF,LEFT,10,29,Seminar Room,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-405,default,3,184,30,08-405,1,#0000FF,RIGHT,10,10,물류시스템연구실,1.75,#FFFFFF,LEFT,10,29,Logistics System Research Lab.,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-406,default,3,184,30,08-406,1,#0000FF,RIGHT,10,10,제품시스템공학 연구실,1.75,#FFFFFF,LEFT,10,29,Product Systems Engineering Lab.,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-407,default,3,184,30,08-407,1,#0000FF,RIGHT,10,10,노동과학연구실,1.75,#FFFFFF,LEFT,10,29,Labor Science Research Lab.,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-408,default,3,184,30,08-408,1,#0000FF,RIGHT,10,10,데이터사이언스연구실,1.75,#FFFFFF,LEFT,10,29,Data Science Research Lab.,0.75,#808080,LEFT,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
